Serial Number:20555870 --,,,,,,,
,,,,,,,
"Date Time, GMT -0800","Temp, (*F)","Intensity, ( lum/ft2)",Button Down,Button Up,Host Connect,Stopped,EOF
2/11/20 11:40,74,23, , , , , 
2/11/20 11:41,73.85,23, , , , , 
2/11/20 11:42,73.69,23, , , , , 
2/11/20 11:43,73.69,23, , , , , 
2/11/20 11:44,73.54,23, , , , , 
2/11/20 11:45,73.46,23, , , , , 
2/11/20 11:46,73.39,23, , , , , 
2/11/20 11:47,73.23,23, , , , , 
2/11/20 11:48,73.23,23, , , , , 
2/11/20 11:49,73.15,23, , , , , 
2/11/20 11:50,73,23, , , , , 
2/11/20 11:51,72.92,23, , , , , 
2/11/20 11:52,72.84,23, , , , , 
2/11/20 11:55,73.08,76, , , , , 
2/11/20 11:56,73.23,76, , , , , 
2/11/20 11:57,73.39,76, , , , , 
2/11/20 11:58,73.54,76, , , , , 
2/11/20 11:59,73.54,76, , , , , 
2/11/20 12:00,73.54,76, , , , , 
2/11/20 12:01,73.62,77, , , , , 
2/11/20 12:02,73.54,76, , , , , 
2/11/20 12:03,73.62,76, , , , , 
2/11/20 12:04,73.69,76, , , , , 
2/11/20 12:05,73.62,76, , , , , 
2/11/20 12:06,73.62,76, , , , , 
2/11/20 12:07,73.62,76, , , , , 
2/11/20 12:08,73.62,76, , , , , 
2/11/20 12:09,73.69,76, , , , , 
2/11/20 12:10,73.69,76, , , , , 
2/11/20 12:11,73.62,76, , , , , 
2/11/20 12:12,73.77,74, , , , , 
2/11/20 12:13,73.69,76, , , , , 
2/11/20 12:14,73.77,76, , , , , 
2/11/20 12:15,73.62,76, , , , , 
2/11/20 12:16,73.77,76, , , , , 
2/11/20 12:17,73.77,76, , , , , 
2/11/20 12:18,73.77,76, , , , , 
2/11/20 12:19,73.69,76, , , , , 
2/11/20 12:20,73.69,76, , , , , 
2/11/20 12:21,73.77,76, , , , , 
2/11/20 12:22,73.69,76, , , , , 
2/11/20 12:23,73.69,76, , , , , 
2/11/20 12:24,73.69,76, , , , , 
2/11/20 12:25,73.69,76, , , , , 
2/11/20 12:26,73.62,76, , , , , 
2/11/20 12:27,73.69,76, , , , , 
2/11/20 12:28,73.69,76, , , , , 
2/11/20 12:29,73.69,76, , , , , 
2/11/20 12:30,73.69,76, , , , , 
2/11/20 12:31,73.69,76, , , , , 
2/11/20 12:32,73.69,76, , , , , 
2/11/20 12:33,73.69,76, , , , , 
2/11/20 12:34,73.62,76, , , , , 
2/11/20 12:35,73.69,76, , , , , 
2/11/20 12:36,73.62,76, , , , , 
2/11/20 12:37,73.62,76, , , , , 
2/11/20 12:38,73.62,76, , , , , 
2/11/20 12:39,73.69,76, , , , , 
2/11/20 12:40,73.62,76, , , , , 
2/11/20 12:41,73.77,76, , , , , 
2/11/20 12:42,73.62,76, , , , , 
2/11/20 12:43,73.69,76, , , , , 
2/11/20 12:44,73.62,76, , , , , 
2/11/20 12:45,73.62,76, , , , , 
2/11/20 12:46,73.62,76, , , , , 
2/11/20 12:47,73.69,76, , , , , 
2/11/20 12:48,73.62,76, , , , , 
2/11/20 12:49,73.62,76, , , , , 
2/11/20 12:50,73.62,76, , , , , 
2/11/20 12:51,73.62,76, , , , , 
2/11/20 12:52,73.69,76, , , , , 
2/11/20 12:53,73.69,76, , , , , 
2/11/20 12:54,73.69,76, , , , , 
2/11/20 12:55,73.62,76, , , , , 
2/11/20 12:56,73.69,76, , , , , 
2/11/20 12:57,73.69,76, , , , , 
2/11/20 12:58,73.77,76, , , , , 
2/11/20 12:59,73.77,76, , , , , 
2/11/20 13:00,73.77,76, , , , , 
2/11/20 13:01,73.77,76, , , , , 
2/11/20 13:02,73.85,79, , , , , 
2/11/20 13:03,73.93,79, , , , , 
2/11/20 13:04,73.85,79, , , , , 
2/11/20 13:05,73.93,79, , , , , 
2/11/20 13:06,73.85,79, , , , , 
2/11/20 13:07,73.85,79, , , , , 
2/11/20 13:08,73.85,79, , , , , 
2/11/20 13:09,73.85,79, , , , , 
2/11/20 13:10,73.85,79, , , , , 
2/11/20 13:11,73.85,79, , , , , 
2/11/20 13:12,73.85,79, , , , , 
2/11/20 13:13,73.77,79, , , , , 
2/11/20 13:14,73.93,79, , , , , 
2/11/20 13:15,73.85,79, , , , , 
2/11/20 13:16,73.77,79, , , , , 
2/11/20 13:17,73.77,79, , , , , 
2/11/20 13:18,73.77,79, , , , , 
2/11/20 13:19,73.77,79, , , , , 
2/11/20 13:20,73.77,79, , , , , 
2/11/20 13:21,73.77,79, , , , , 
2/11/20 13:22,73.85,79, , , , , 
2/11/20 13:23,73.77,79, , , , , 
2/11/20 13:24,73.85,80, , , , , 
2/11/20 13:25,73.85,79, , , , , 
2/11/20 13:26,73.85,80, , , , , 
2/11/20 13:27,73.85,80, , , , , 
2/11/20 13:28,73.93,80, , , , , 
2/11/20 13:29,73.85,79, , , , , 
2/11/20 13:30,73.93,80, , , , , 
2/11/20 13:31,73.93,79, , , , , 
2/11/20 13:32,73.85,79, , , , , 
2/11/20 13:33,73.85,79, , , , , 
2/11/20 13:34,73.85,79, , , , , 
2/11/20 13:35,73.85,79, , , , , 
2/11/20 13:36,73.93,79, , , , , 
2/11/20 13:37,73.85,79, , , , , 
2/11/20 13:38,73.93,79, , , , , 
2/11/20 13:39,73.93,79, , , , , 
2/11/20 13:40,73.85,79, , , , , 
2/11/20 13:41,73.85,79, , , , , 
2/11/20 13:42,73.85,79, , , , , 
2/11/20 13:43,73.85,79, , , , , 
2/11/20 13:44,73.85,79, , , , , 
2/11/20 13:45,73.77,79, , , , , 
2/11/20 13:46,73.77,79, , , , , 
2/11/20 13:47,73.85,79, , , , , 
2/11/20 13:48,73.85,79, , , , , 
2/11/20 13:49,73.85,80, , , , , 
2/11/20 13:50,73.85,79, , , , , 
2/11/20 13:51,73.85,79, , , , , 
2/11/20 13:52,73.85,79, , , , , 
2/11/20 13:53,73.77,79, , , , , 
2/11/20 13:54,73.85,79, , , , , 
2/11/20 13:55,73.85,79, , , , , 
2/11/20 13:56,73.85,79, , , , , 
2/11/20 13:57,73.85,80, , , , , 
2/11/20 13:58,73.77,80, , , , , 
2/11/20 13:59,73.77,80, , , , , 
2/11/20 14:00,73.85,80, , , , , 
2/11/20 14:01,73.85,80, , , , , 
2/11/20 14:02,73.85,80, , , , , 
2/11/20 14:03,73.85,80, , , , , 
2/11/20 14:04,73.85,80, , , , , 
2/11/20 14:05,73.85,80, , , , , 
2/11/20 14:06,73.85,80, , , , , 
2/11/20 14:07,73.85,80, , , , , 
2/11/20 14:08,73.77,80, , , , , 
2/11/20 14:09,73.85,52, , , , , 
2/11/20 14:10,74.08,0, , , , , 
2/11/20 14:10, , ,Logged,Logged, , , 
2/11/20 14:10, , , , ,Logged, , 
2/11/20 14:10, , , , , ,Logged,Logged
